Sl No,Category,Item Code,Item Name,Quantity,Department,Address,Contact Name,Phone,Latitude,Longitude,District
1,Tactical,332,Crow Bar,3 Nos,YASHWANTHAPURA Fire Station,"Yeshwanthapur fire  station APMC Yard, Bengaluru",Rambhadraiah H,9611182268 / 08022971544,13.0225913,77.5499861,Bengaluru
2,Tactical,117,Sledge Hammer,2 Nos,YASHWANTHAPURA Fire Station,"Yeshwanthapur fire  station APMC Yard, Bengaluru",Rambhadraiah H,9611182268 / 08022971544,13.0225913,77.5499861,Bengaluru
3,Tactical,103,Bolt Cutters ( Shears ),2 Nos,YASHWANTHAPURA Fire Station,"Yeshwanthapur fire  station APMC Yard, Bengaluru",Rambhadraiah H,9611182268 / 08022971544,13.0225913,77.5499861,Bengaluru
4,Tactical,389,Gum Boots,40 Nos,Rajajinagara Fire  station,"Rajajinagara Fire  Station, 1st main road, West of  chord road, Bangaluru",Srikanth  Vatara,6363220035 / 08022971543,12.980627,77.548456,Bengaluru
5,Logistics,362,Motor Cycle,1 Nos,Rajajinagara Fire  station,"Rajajinagara Fire  Station, 1st main road, West of  chord road, Bangaluru",Srikanth  Vatara,6363220035 / 08022971543,12.980627,77.548456,Bengaluru
6,Logistics,222,Water Tank,1 Nos,Rajajinagara Fire  station,"Rajajinagara Fire  Station, 1st main road, West of  chord road, Bangaluru",Srikanth  Vatara,6363220035 / 08022971543,12.980627,77.548456,Bengaluru
7,Logistics,221,Water Filter,1 Nos,Rajajinagara Fire  station,"Rajajinagara Fire  Station, 1st main road, West of  chord road, Bangaluru",Srikanth  Vatara,6363220035 / 08022971543,12.980627,77.548456,Bengaluru
8,Logistics,205,First Aid Kits,1 Nos,Rajajinagara Fire  station,"Rajajinagara Fire  Station, 1st main road, West of  chord road, Bangaluru",Srikanth  Vatara,6363220035 / 08022971543,12.980627,77.548456,Bengaluru
9,Other,181,Fire Tender,2 Nos,Rajajinagara Fire  station,"Rajajinagara Fire  Station, 1st main road, West of  chord road, Bangaluru",Srikanth  Vatara,6363220035 / 08022971543,12.980627,77.548456,Bengaluru
10,Other,179,Dcp Type,7 Nos,Rajajinagara Fire  station,"Rajajinagara Fire  Station, 1st main road, West of  chord road, Bangaluru",Srikanth  Vatara,6363220035 / 08022971543,12.980627,77.548456,Bengaluru
11,Other,178,Foam Type,3 Nos,Rajajinagara Fire  station,"Rajajinagara Fire  Station, 1st main road, West of  chord road, Bangaluru",Srikanth  Vatara,6363220035 / 08022971543,12.980627,77.548456,Bengaluru
12,Other,177,Co2 Type,13 Nos,Rajajinagara Fire  station,"Rajajinagara Fire  Station, 1st main road, West of  chord road, Bangaluru",Srikanth  Vatara,6363220035 / 08022971543,12.980627,77.548456,Bengaluru
13,Other,175,Extension Ladder,4 Nos,Rajajinagara Fire  station,"Rajajinagara Fire  Station, 1st main road, West of  chord road, Bangaluru",Srikanth  Vatara,6363220035 / 08022971543,12.980627,77.548456,Bengaluru
14,Other,365,Air Compressor,1 Nos,Rajajinagara Fire  station,"Rajajinagara Fire  Station, 1st main road, West of  chord road, Bangaluru",Srikanth  Vatara,6363220035 / 08022971543,12.980627,77.548456,Bengaluru
