Sl No,Category,Item Code,Item Name,Quantity,Department,Address,Contact Name,Phone,Latitude,Longitude,District
5,Logistics,362,Motor Cycle,1 Nos,Rajajinagara Fire  station,"Rajajinagara Fire  Station, 1st main road, West of  chord road, Bangaluru",Srikanth  Vatara,6363220035 / 08022971543,12.980627,77.548456,Bengaluru
6,Logistics,222,Water Tank,1 Nos,Rajajinagara Fire  station,"Rajajinagara Fire  Station, 1st main road, West of  chord road, Bangaluru",Srikanth  Vatara,6363220035 / 08022971543,12.980627,77.548456,Bengaluru
7,Logistics,221,Water Filter,1 Nos,Rajajinagara Fire  station,"Rajajinagara Fire  Station, 1st main road, West of  chord road, Bangaluru",Srikanth  Vatara,6363220035 / 08022971543,12.980627,77.548456,Bengaluru
8,Logistics,205,First Aid Kits,1 Nos,Rajajinagara Fire  station,"Rajajinagara Fire  Station, 1st main road, West of  chord road, Bangaluru",Srikanth  Vatara,6363220035 / 08022971543,12.980627,77.548456,Bengaluru
35,Logistics,362,Motor Cycle,1 Nos,BAGALURU  CROSS FIRE STATION,"BAGALURU  CROSS FIRE STATION NITTE  MEENAKSHI COLLEGE ROAD,  ODEYARAPURA, BAGALURU  CROSS, YELAHANKA",Anjunath  mukanavar,7353702669 / 08029733407,13.1223724998,77.605692928425,Bengaluru
36,Logistics,222,Water Tank,1 Nos,BAGALURU  CROSS FIRE STATION,"BAGALURU  CROSS FIRE STATION NITTE  MEENAKSHI COLLEGE ROAD,  ODEYARAPURA, BAGALURU  CROSS, YELAHANKA",Anjunath  mukanavar,7353702669 / 08029733407,13.1223724998,77.605692928425,Bengaluru
37,Logistics,205,First Aid Kits,1 Nos,BAGALURU  CROSS FIRE STATION,"BAGALURU  CROSS FIRE STATION NITTE  MEENAKSHI COLLEGE ROAD,  ODEYARAPURA, BAGALURU  CROSS, YELAHANKA",Anjunath  mukanavar,7353702669 / 08029733407,13.1223724998,77.605692928425,Bengaluru
63,Logistics,362,Motor Cycle,1 Nos,HIGHGROUND  FIRE STATION,"HIGHGROUND  FIRE STATION, SHESHADRI  ROAD, NEAR FREEDOM PARK,  BANGALORE",Santhosha H  S,8197935936 / 08022971574,12.980426,77.581512,Bengaluru
64,Logistics,222,Water Tank,1 Nos,HIGHGROUND  FIRE STATION,"HIGHGROUND  FIRE STATION, SHESHADRI  ROAD, NEAR FREEDOM PARK,  BANGALORE",Santhosha H  S,8197935936 / 08022971574,12.980426,77.581512,Bengaluru
65,Logistics,205,First Aid Kits,1 Nos,HIGHGROUND  FIRE STATION,"HIGHGROUND  FIRE STATION, SHESHADRI  ROAD, NEAR FREEDOM PARK,  BANGALORE",Santhosha H  S,8197935936 / 08022971574,12.980426,77.581512,Bengaluru
92,Logistics,362,Motor Cycle,1 Nos,BANASAWADI  FIRE STATION,"BANASAWADI  FIRE STATION BANASAWADI  FIRE STATION, OPP HP PETROL  BUNK, DODDA BANASAWADI  MAIN ROAD , BANASAWADI  BANGALORE",Anjani,9972974846 / 08022971540,13.011407,77.6460582,Bengaluru
93,Logistics,222,Water Tank,1 Nos,BANASAWADI  FIRE STATION,"BANASAWADI  FIRE STATION BANASAWADI  FIRE STATION, OPP HP PETROL  BUNK, DODDA BANASAWADI  MAIN ROAD , BANASAWADI  BANGALORE",Anjani,9972974846 / 08022971540,13.011407,77.6460582,Bengaluru
94,Logistics,221,Water Filter,1 Nos,BANASAWADI  FIRE STATION,"BANASAWADI  FIRE STATION BANASAWADI  FIRE STATION, OPP HP PETROL  BUNK, DODDA BANASAWADI  MAIN ROAD , BANASAWADI  BANGALORE",Anjani,9972974846 / 08022971540,13.011407,77.6460582,Bengaluru
95,Logistics,221,Water Filter,1 Nos,BANASAWADI  FIRE STATION,"BANASAWADI  FIRE STATION BANASAWADI  FIRE STATION, OPP HP PETROL  BUNK, DODDA BANASAWADI  MAIN ROAD , BANASAWADI  BANGALORE",Anjani,9972974846 / 08022971540,13.011407,77.6460582,Bengaluru
96,Logistics,205,First Aid Kits,1 Nos,BANASAWADI  FIRE STATION,"BANASAWADI  FIRE STATION BANASAWADI  FIRE STATION, OPP HP PETROL  BUNK, DODDA BANASAWADI  MAIN ROAD , BANASAWADI  BANGALORE",Anjani,9972974846 / 08022971540,13.011407,77.6460582,Bengaluru
122,Logistics,362,Motor Cycle,1 Nos,THANISANDRA  FIRE STATION,"THANISANDRA  FIRE STATION, MANYATH  TECH PARK, NAGAWAR RING  ROAD, BANGALURU",Ranganath S,9480823781 / 9019662472,13.0479739,77.6067,Bengaluru
123,Logistics,222,Water Tank,1 Nos,THANISANDRA  FIRE STATION,"THANISANDRA  FIRE STATION, MANYATH  TECH PARK, NAGAWAR RING  ROAD, BANGALURU",Ranganath S,9480823781 / 9019662472,13.0479739,77.6067,Bengaluru
124,Logistics,205,First Aid Kits,1 Nos,THANISANDRA  FIRE STATION,"THANISANDRA  FIRE STATION, MANYATH  TECH PARK, NAGAWAR RING  ROAD, BANGALURU",Ranganath S,9480823781 / 9019662472,13.0479739,77.6067,Bengaluru
156,Logistics,213,Portable Suction Unit,01 Nos,KARNATAKA  STATE FIRE AND EMERGENCY  SERVICES(Hulimavu),"HULIMAVU FIRE  STATION Venugopalnagar,  Bannerughatta Main Road, Near  Royal Meenakshi Mall, Bengaluru-  560 076.",Mahantgouda Kurakalli,9108182873 / 08022971613,12.878337769511,77.597371239329,Bengaluru
157,Logistics,271,Walkie Talkie Sets,2 Nos,KARNATAKA  STATE FIRE AND EMERGENCY  SERVICES(Hulimavu),"HULIMAVU FIRE  STATION Venugopalnagar,  Bannerughatta Main Road, Near  Royal Meenakshi Mall, Bengaluru-  560 076.",Mahantgouda Kurakalli,9108182873 / 08022971613,12.878337769511,77.597371239329,Bengaluru
158,Logistics,347,Office Building,1 Nos,KARNATAKA  STATE FIRE AND EMERGENCY  SERVICES(Hulimavu),"HULIMAVU FIRE  STATION Venugopalnagar,  Bannerughatta Main Road, Near  Royal Meenakshi Mall, Bengaluru-  560 076.",Mahantgouda Kurakalli,9108182873 / 08022971613,12.878337769511,77.597371239329,Bengaluru
167,Logistics,362,Motor Cycle,1 Nos,KARNATAKA  STATE FIRE AND EMERGENCY  SERVICES(Hulimavu),"HULIMAVU FIRE  STATION Venugopalnagar,  Bannerughatta Main Road, Near  Royal Meenakshi Mall, Bengaluru-  560 076.",Mahantgouda Kurakalli,9108182873 / 08022971613,12.878337769511,77.597371239329,Bengaluru
168,Logistics,221,Water Filter,1 Nos,KARNATAKA  STATE FIRE AND EMERGENCY  SERVICES(Hulimavu),"HULIMAVU FIRE  STATION Venugopalnagar,  Bannerughatta Main Road, Near  Royal Meenakshi Mall, Bengaluru-  560 076.",Mahantgouda Kurakalli,9108182873 / 08022971613,12.878337769511,77.597371239329,Bengaluru
