Sl No,Category,Item Code,Item Name,Quantity,Department,Address,Contact Name,Phone,Latitude,Longitude,District
1,Tactical,332,Crow Bar,3 Nos,YASHWANTHAPURA Fire Station,"Yeshwanthapur fire  station APMC Yard, Bengaluru",Rambhadraiah H,9611182268 / 08022971544,13.0225913,77.5499861,Bengaluru
2,Tactical,117,Sledge Hammer,2 Nos,YASHWANTHAPURA Fire Station,"Yeshwanthapur fire  station APMC Yard, Bengaluru",Rambhadraiah H,9611182268 / 08022971544,13.0225913,77.5499861,Bengaluru
3,Tactical,103,Bolt Cutters ( Shears ),2 Nos,YASHWANTHAPURA Fire Station,"Yeshwanthapur fire  station APMC Yard, Bengaluru",Rambhadraiah H,9611182268 / 08022971544,13.0225913,77.5499861,Bengaluru
4,Tactical,389,Gum Boots,40 Nos,Rajajinagara Fire  station,"Rajajinagara Fire  Station, 1st main road, West of  chord road, Bangaluru",Srikanth  Vatara,6363220035 / 08022971543,12.980627,77.548456,Bengaluru
16,Tactical,159,Inflatable Boat (12 Persons),3 Nos,Rajajinagara Fire  station,"Rajajinagara Fire  Station, 1st main road, West of  chord road, Bangaluru",Srikanth  Vatara,6363220035 / 08022971543,12.980627,77.548456,Bengaluru
17,Tactical,156,Life Jackets,10 Nos,Rajajinagara Fire  station,"Rajajinagara Fire  Station, 1st main road, West of  chord road, Bangaluru",Srikanth  Vatara,6363220035 / 08022971543,12.980627,77.548456,Bengaluru
18,Tactical,155,Lifebuoy,10 Nos,Rajajinagara Fire  station,"Rajajinagara Fire  Station, 1st main road, West of  chord road, Bangaluru",Srikanth  Vatara,6363220035 / 08022971543,12.980627,77.548456,Bengaluru
19,Tactical,360,Hose/Hose Fitting,43 Nos,Rajajinagara Fire  station,"Rajajinagara Fire  Station, 1st main road, West of  chord road, Bangaluru",Srikanth  Vatara,6363220035 / 08022971543,12.980627,77.548456,Bengaluru
20,Tactical,357,Rope,14 Nos,Rajajinagara Fire  station,"Rajajinagara Fire  Station, 1st main road, West of  chord road, Bangaluru",Srikanth  Vatara,6363220035 / 08022971543,12.980627,77.548456,Bengaluru
21,Tactical,356,B.A.Set,11 Nos,Rajajinagara Fire  station,"Rajajinagara Fire  Station, 1st main road, West of  chord road, Bangaluru",Srikanth  Vatara,6363220035 / 08022971543,12.980627,77.548456,Bengaluru
22,Tactical,341,Ceiling Hook,1 Nos,Rajajinagara Fire  station,"Rajajinagara Fire  Station, 1st main road, West of  chord road, Bangaluru",Srikanth  Vatara,6363220035 / 08022971543,12.980627,77.548456,Bengaluru
23,Tactical,341,Ceiling Hook,1 Nos,Rajajinagara Fire  station,"Rajajinagara Fire  Station, 1st main road, West of  chord road, Bangaluru",Srikanth  Vatara,6363220035 / 08022971543,12.980627,77.548456,Bengaluru
24,Tactical,338,Door Breaker,1 Nos,Rajajinagara Fire  station,"Rajajinagara Fire  Station, 1st main road, West of  chord road, Bangaluru",Srikanth  Vatara,6363220035 / 08022971543,12.980627,77.548456,Bengaluru
25,Tactical,337,Axe,2 Nos,Rajajinagara Fire  station,"Rajajinagara Fire  Station, 1st main road, West of  chord road, Bangaluru",Srikanth  Vatara,6363220035 / 08022971543,12.980627,77.548456,Bengaluru
